id,yr,gr_id,flag_id,fleet_id,ez_id,days,skj_c,yft_c,bet_c,days_arch,skj_arch_c,yft_arch_c,bet_arch_c,alb_c,bum_c,blm_c,mls_c,swo_c
9761,2017,G,JP,,I6,0,61,7,1,0,0,0,0,40,15,0,241,291
9762,2017,G,VN,,VN,0,40281,560,411,0,0,0,0,0,970,96,19,1109
9763,2017,H,ID,,ID,0,0,12512,463,0,0,10811.91091,400.0890944,0,80,7,0,4
9764,2017,H,PH,,PH,0,3038,23961,1294,0,3020.3796,23822.0262,1286.4948,114,839,240,0,16
9765,2017,H,US,HW,HW,0,6,400,106,0,0,0,0,35,2,0,0,6
9766,2017,K,ID,,ID,0,42221,20287,4152,0,39691.28692,19071.48428,3903.228803,0,0,0,0,0
9767,2017,K,PH,,PH,0,10742,14862,506,0,10742,14862,506,0,0,0,0,0
9768,2017,L,AU,AU,AU,5722.571,12.99290616,1658.991188,416.3511906,0,0,0,0,830.31681,60,59,256.852804,1050.077904
9769,2017,L,AU,AU,I7,37.867,0.00709384,7.00881202,1.64880936,0,0,0,0,0.68319003,0,0,4.14719604,15.9220958
9770,2017,L,BZ,,I4,0,0,0,0,0,0,0,0,0,0,0,0,0
9771,2017,L,BZ,,I5,0,0,0,0,0,0,0,0,0,0,0,0,0
9772,2017,L,CK,,CK,3832.674,60.61757799,542.2623182,210.8248293,0,0,0,0,2370.000745,76.06926209,40.860414,22.40951088,51.0726076
9773,2017,L,CK,,FM,179.849,1.19544616,42.442763,68.16943998,0,0,0,0,5.24861655,7.41972797,0,1.19258808,0.74177544
9774,2017,L,CK,,H5,2.576,0.06976777,0.5897175,0.20090266,0,0,0,0,2.44442575,0,0.08822604,0,0
9775,2017,L,CK,,I5,162.789,1.37791597,4.4029068,8.49694552,0,0,0,0,107.7844025,1.06389621,1.05135996,0,2.3578436
9776,2017,L,CK,,TK,134.247,3.73929144,20.3022945,10.30788556,0,0,0,0,81.52181054,4.44711373,0,0.3979008,1.82777336
9777,2017,L,CN,,CK,924.453,15.836,211.513,54.836,0,0,0,0,686.764,14.531,12.335,1.332,6.893
9778,2017,L,CN,,CN,2,0,0,0.32,0,0,0,0,2.39,0,0,0,0
9779,2017,L,CN,,FJ,288.955,4.721,82.424,18.454,0,0.011826415,0.206477527,0.046228481,214.483,2.008,0.991,0.655,2.649
9780,2017,L,CN,,FM,858.781,3.234,212.364,282.98,0,0,0,0,33.869,19.018,0.04,22.219,3.062
9781,2017,L,CN,,GL,359.678,1.653,102.056,140.589,0,0.001503333,0.092815564,0.127859678,8.054,6.295,3.345,0.095,1.925
9782,2017,L,CN,,H4,691.066,4.756,200.804,126.107,0,0,0,0,87.984,17.055,1.065,6.1,3.428
9783,2017,L,CN,,H5,794.12,17.898,122.362,159.591,0,0,0,0,44.031,12.413,1.816,7.937,6.231
9784,2017,L,CN,,I2,1428.608,8.026,352.404,182.476,0,0,0,0,556.771,17.282,2.971,8.39,3.608
9785,2017,L,CN,,I3,125.281,2.312,39.167,30.622,0,0,0,0,6.193,4.383,1.398,0.535,0.361
9786,2017,L,CN,,I4,12695.302,0,1173.236457,2311.831465,0,0,0,0,0,555.9100079,0,30.92850062,764.7920083
9787,2017,L,CN,,I5,12695.302,0,1173.236457,2311.831465,0,0,0,0,0,555.9100079,0,30.92850062,764.7920083
9788,2017,L,CN,,I6,10,0.156,0.862,1.735,0,0,0,0,4.942,0.44,0,0.15,0.106
9789,2017,L,CN,,I7,2000.604,0,0,0,0,0,0,0,16424.12529,0,0,0,0
9790,2017,L,CN,,I8,2064.106,40.984,365.562,47.478,0,0,0,0,1366.756,19.303,1.44,2.858,7.555
9791,2017,L,CN,,I9,6.062,0.029,0.609,0.07,0,0,0,0,1.475,0.432,0,0,0
9792,2017,L,CN,,LN,678.942,2.526,85.836,209.405,0,0,0,0,159.625,4.545,17.608,3.729,19.563
9793,2017,L,CN,,MH,2482.383,0.224,391.106,538.25,0,0,0,0,35.315,102.65,0.09,0.23,8.216
9794,2017,L,CN,,NR,16.165,0,0.892,3.795,0,0,0,0,0,0.36,0,0.05,0.12
9795,2017,L,CN,,PG,3.031,0,0.137,0.653,0,0,0.072442446,0.345291367,0.6,0.248,0,0,0.02
9796,2017,L,CN,,PX,62.641,0.264,9.606,42.128,0,0,0,0,1.903,0.09,0.414,0.158,2.362
9797,2017,L,CN,,SB,3265.389,61.558,1545.743,226.462,0,0.004036961,0.101369517,0.014851333,3320.827,91.512,3.645,0.65,14.627
9798,2017,L,CN,,TK,83.857,0.269,44.422,9.453,0,0,0,0,56.648,0.149,0.06,0.815,0.25
9799,2017,L,CN,,TO,10.103,0.004,0.697,0.369,0,0,0,0,6.872,0,0,0.08,0
9800,2017,L,CN,,TV,998.207,9.316,420.131,79.357,0,0,0,0,475.475,23.5,0.901,1.04,2.98
9801,2017,L,CN,,VU,7001.593,178.272,1990.83,244.207,0,0.442426875,4.940746135,0.606061186,5756.898,122.966,6.485,5.12,42.46
9802,2017,L,ES,,I7,648,0,7,21,0,0,0,0,2,1,25,6,932
9803,2017,L,FJ,,FJ,11452.898,328.2262071,3295.201529,597.2651064,0,38.86650085,390.1972185,70.72440978,6416.128511,37.92816497,12.01571,67.49804388,80.58330891
9804,2017,L,FJ,,GL,68.133,0.08063341,6.36647382,16.66102924,0,0,0,0,4.16139224,0.22606917,0,0.40270332,0.22504365
9805,2017,L,FJ,,H4,142,1.94367486,26.56650492,83.76279452,0,0,0,0,1.31910552,1.34341508,0.1969672,0.251689,1.56780117
9806,2017,L,FJ,,H5,2,0,0.0620757,0.59691284,0,0,0,0,0.10362064,0,0.0664468,0,0
9807,2017,L,FJ,,I2,263.099,1.31346281,80.67278196,25.4492088,0,0,0,0,118.6684251,2.12335328,0.5600512,0.67956076,0.47821644
9808,2017,L,FJ,,I3,3.112,0,0.4818969,0.26875648,0,0,0,0,1.16620704,0.2599794,0,0,0
9809,2017,L,FJ,,I4,174.39,9.89236562,34.90155126,48.31989108,0,0,0,0,22.92928496,2.41950398,0.6561618,0,0.9011106
9810,2017,L,FJ,,I7,725.031,47.3293017,44.40870648,53.57819316,0,0,0,0,976.7305796,2.06005399,0.5410664,0,9.12269241
9811,2017,L,FJ,,I8,495.852,10.31462441,115.8815705,12.75527384,0,0,0,0,368.7452326,3.52272087,0.4615676,2.06385256,2.82147957
9812,2017,L,FJ,,NU,15.695,0.28963956,2.92812822,0.32036712,0,0,0,0,14.16774832,0,0.2990104,0,0.0525096
9813,2017,L,FJ,,PX,1,0,0.03574962,0.2142318,0,0,0,0,0,0,0,0,0
9814,2017,L,FJ,,SB,451.885,0.86998654,242.504431,81.55819584,0,0,0,0,162.9577016,12.69773165,0,0,2.66582511
9815,2017,L,FJ,,TV,890.109,6.67342141,412.845786,78.95047352,0,0,0,0,382.5350082,11.54364893,2.7266902,10.20600252,5.10004287
9816,2017,L,FJ,,VU,2831.651,92.06668263,723.1427649,108.2995764,0,0.243937396,1.916019545,0.286947634,2082.387184,22.87535868,2.4763284,10.89814796,13.48196733
9817,2017,L,FM,,CK,589.825,7.0248998,78.391,13.905,0,0,0,0,247.752,31.989986,0,0.68337731,6.29812785
9818,2017,L,FM,,FM,2756.316,7.84204832,651.2312431,1254.000521,0,0,0,0,70.99074345,176.7571413,4,0.31662269,16.80678195
9819,2017,L,FM,,GL,6.876,0.21901049,0.245,2.008,0,0,0,0,0.076,0.22119328,0,0,0.05475085
9820,2017,L,FM,,I2,16.726,0,3.492264821,3.716155032,0,0,0,0,1.69144684,0.46893216,0,0,0.00883085
9821,2017,L,FM,,I3,128.077,0.12882974,73.7791189,29.50979734,0,0,0,0,169.0775532,8.22311248,0,0,0.54750955
9822,2017,L,FM,,I4,44.132,0,7.752616275,14.34704763,0,0,0,0,0,2.0349872,0,0,0.406217
9823,2017,L,FM,,LN,1.578,0,0.2111256,0,0,0,0,0,0.49322317,0.05485464,0,0,0
9824,2017,L,FM,,MH,3445.702,1.78521165,600.8977248,816.5131073,0,0,0,0,26.91854594,156.2497892,0,0,10.8777816
9825,2017,L,ID,,ID,4465,267,2126,1446,0,260.7405574,2076.158896,1412.100547,0,0,66,0,3
9826,2017,L,JP,CS,CN,10.064,0,1.90499685,0.2570152,0,0,0,0,0.43593512,0.312,0,0,0.094998
9827,2017,L,JP,CS,I1,8.496,0,0.58901091,6.60802808,0,0,0,0,0,0,0,0,0.0520075
9828,2017,L,JP,CS,I3,3036.383,0,615.0689941,877.5180246,0,0,0,0,1401.004022,202.4810034,2.847,9.73699668,88.62399275
9829,2017,L,JP,CS,I6,25028.964,0,2885.685011,4503.733011,0,0,0,0,10167.75101,516.1990002,10.05899999,561.9320021,1814.946996
9830,2017,L,JP,CS,JP,3800.972,0,1395.855003,3004.183986,0,0,0,0,770.3909853,141.7500006,1.87500001,25.08000048,174.4190083
9831,2017,L,JP,DW,FM,1775.984,3.02,547.7129928,1285.928004,0,0,0,0,16.4069782,47.3800014,0.86699997,1.49899932,16.5749881
9832,2017,L,JP,DW,I1,16.317,0,4.0418626,1.92673275,0,0,0,0,0.04768218,0.57603384,0,0,0.21475134
9833,2017,L,JP,DW,I2,72.931,0,43.9466172,4.51217028,0,0,0,0,11.54176568,6.69333216,0.49489704,0.3326141,0.67599747
9834,2017,L,JP,DW,I3,1286.795,0,342.8930446,17.90571813,0,0,0,0,1291.186626,158.6961089,1.35789975,12.50350738,15.83317281
9835,2017,L,JP,DW,I4,793.471,0,189.2946814,84.31274238,0,0,0,0,9.11352592,115.5069414,1.47242109,7.4660495,56.997128
9836,2017,L,JP,DW,I5,582.112,0,171.6207654,90.43230855,0,0,0,0,11.41304126,95.06887548,1.48878166,7.24388392,39.74448625
9837,2017,L,JP,DW,I6,7498.658,0,535.0879666,225.4163241,0,0,0,0,2673.299675,124.8902887,4.75673834,117.9587646,2706.513837
9838,2017,L,JP,DW,I7,1680.714,0,20.9170394,25.33596528,0,0,0,0,632.9076987,1.84041228,2.23726197,16.62817884,113.5126143
9904,2017,L,TW,DW,H4,6,0.187,0.785,1.73,0,0,0,0,1.099,0.537,0,0,0.017
9839,2017,L,JP,DW,ID,1,0,1.2609914,0.51500706,0,0,0,0,0.06002482,0.039999,0,0,0.05999052
9840,2017,L,JP,DW,MH,385.602,4.29500032,267.9900196,255.905995,0,0,0,0,29.50700218,37.16600148,0.37800024,1.67599978,3.01099658
9841,2017,L,JP,DW,PG,3016.354,22.596,2979.966002,462.8930091,0,0,0,0,1142.099004,170.8129999,38.76699999,16.08700002,37.05800894
9842,2017,L,JP,DW,PW,2064.934,0.03500032,550.9800014,1411.705002,0,0,0,0,4.41697674,44.8720038,1.17999995,0.60500076,76.79200605
9843,2017,L,JP,DW,SB,4.027,0.016,4.288016,0.21098352,0,0,0,0,0,0.45700164,0,0,0.01199197
9844,2017,L,KI,,GL,895.422,5.51958344,176.8330393,196.9447353,0,0,0,0,25.97818646,0,0,68.26272595,13.63002498
9845,2017,L,KI,,H4,3.906,0,0.16665498,0.47467791,0,0,0,0,0.22738737,0,0,0,0
9846,2017,L,KI,,H5,173.811,0,13.5039286,40.96983261,0,0,0,0,1.75708171,0,0,9.1724134,16.99371846
9847,2017,L,KI,,I2,19.938,0.3067652,3.97504904,2.27246887,0,0,0,0,7.36496822,0,0,0,0.42399504
9848,2017,L,KI,,I3,12.213,5.06820048,3.1950282,0.72011457,0,0,0,0,10.35200229,0,0,0,0.40703526
9849,2017,L,KI,,I4,49.159,7.17830736,9.07624877,5.7914304,0,0,0,0,27.99218197,0,0,0,2.70226152
9850,2017,L,KI,,I5,24.741,0.22350048,4.36555488,1.67880937,0,0,0,0,7.09475958,0,0,4.3990149,0.53140698
9851,2017,L,KI,,I7,72.895,4.06902216,4.6051802,1.37107936,0,0,0,0,120.1827071,0,0,0,2.13128118
9852,2017,L,KI,,I8,109.648,5.58312776,12.02672258,1.18419931,0,0,0,0,103.6085815,0,0,0,0.84799008
9853,2017,L,KI,,LN,431.593,7.395234,65.80084075,25.76522697,0,0,0,0,181.2138793,0,0,11.60591155,9.24309036
9854,2017,L,KI,,PX,9.765,0,0.49799044,2.06191706,0,0,0,0,0.10778909,0,0,0,1.20979926
9855,2017,L,KI,,SB,1.336,0,0.19722383,0,0,0,0,0,1.03357707,0,0,0,0
9856,2017,L,KI,,TK,207.237,20.65625856,64.75653847,7.76551111,0,0,0,0,204.0869053,0,0,1.5599342,5.87939688
9857,2017,L,KR,,GL,405.429,5.968,207.959,230.595,0,0,0,0,9.636,44.894,0.156,12.919,12.838
9858,2017,L,KR,,H4,476.692,3.753,202.931,386.689,0,0,0,0,14.287,59.19,0.053,4.576,11.13
9859,2017,L,KR,,H5,381.354,6.844,146.768,281.478,0,0,0,0,2.651,28.524,0.056,1.527,17.39
9860,2017,L,KR,,I2,2404.647,15.999,1862.254,1060.433,0,0,0,0,506.959,287.459,0.815,19.289,35.768
9861,2017,L,KR,,I3,469.951,13.892,347.259,235.536,0,0,0,0,44.951,35.955,1.075,4.24,7.392
9862,2017,L,KR,,I4,7171.568,63.9045,1444.24957,3663.7815,0,0,0,0,114.7950065,578.7275,5.45,4.1235,208.107
9863,2017,L,KR,,I5,5092.821,63.9045,1444.24957,3663.7815,0,0,0,0,114.7950065,578.7275,5.45,4.1235,208.107
9864,2017,L,KR,,LN,289.867,1.936,60.844,253.562,0,0,0,0,0.168,20.839,0,0.723,39.812
9865,2017,L,KR,,PX,106.895,0.653,28.98,117.637,0,0,0,0,1.229,15.425,0,0.697,3.066
9866,2017,L,KR,,SB,126.155,0.618,82.624,48.949,0,0,0,0,39.408,15.282,0,1.012,1.672
9867,2017,L,KR,,TV,1256.734,8.528,1179.882,277.558,0,0,0,0,445.121,214.977,0.945,8.77,24.718
9868,2017,L,MH,,I3,34.776,0,2.26660164,7.24595049,0,0,0,0,0.34336179,0.8001441,78,0,0
9869,2017,L,MH,,I4,38.206,0,2.07703008,5.20574904,0,0,0,0,0.06242963,1.3644561,0,0,1.6479152
9870,2017,L,MH,,MH,5814.835,1,943.6563778,1216.5483,0,0,0,0,46.59420858,207.8353998,0,4,81.3520848
9871,2017,L,NC,,I7,15.024,0.02583574,0.57322096,0.1067808,0,0,0,0,13.73704278,0,0,0,0.2756061
9872,2017,L,NC,,MA,9.564,0,2.99641888,0.08461872,0,0,0,0,1.23866556,0,0,0,0.14035494
